Name,location,cuisine,top dishes,price for 2,dining rating,dining rating count,delivery rating,delivery rating count,Features,has_dine_in,has_delivery,price category,cuisine_list
Sangeetha OKadey's,Ra Puram,"['South Indian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Paratha', ' Pav Bhaji', ' Coffee']",800,3.7,129,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,0,Mid Range,Desserts
Sangeetha OKadey's,Ra Puram,"['South Indian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Paratha', ' Pav Bhaji', ' Coffee']",800,3.7,129,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,0,Mid Range,Beverages
Sangeetha Veg Restaurant,Santhome,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Dahi Vada', ' Coffee', ' Masala Dosa']",700,3.2,139,4.2,2166,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,South Indian
Sangeetha Veg Restaurant,Santhome,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Dahi Vada', ' Coffee', ' Masala Dosa']",700,3.2,139,4.2,2166,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,North Indian
Sangeetha Veg Restaurant,Santhome,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Dahi Vada', ' Coffee', ' Masala Dosa']",700,3.2,139,4.2,2166,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,Chinese
Sangeetha Veg Restaurant,Santhome,"['South Indian', ' North Indian', ' Chinese', ' Fast Food']","['Dahi Vada', ' Coffee', ' Masala Dosa']",700,3.2,139,4.2,2166,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Indoor Seating', 'Serves Jain Food']",1,1,Mid Range,Fast Food
Sangeetha Veg Restaurant,Triplicane,"['North Indian', ' Chinese', ' South Indian']","['Masala Dosa', ' Coffee', ' Idiyappam']",500,3.3,71,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",1,0,Affordable,North Indian
Sangeetha Veg Restaurant,Triplicane,"['North Indian', ' Chinese', ' South Indian']","['Masala Dosa', ' Coffee', ' Idiyappam']",500,3.3,71,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",1,0,Affordable,Chinese
Sangeetha Veg Restaurant,Triplicane,"['North Indian', ' Chinese', ' South Indian']","['Masala Dosa', ' Coffee', ' Idiyappam']",500,3.3,71,,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",1,0,Affordable,South Indian
Sangeetha's Desi Mane,Virugambakkam,"['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']",Invalid,800,3.4,29,3.9,633,"['Breakfast', 'Home Delivery', 'Catering Available', 'Serves Jain Food', 'Indoor Seating']",1,1,Mid Range,South Indian
Sangeetha's Desi Mane,Virugambakkam,"['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']",Invalid,800,3.4,29,3.9,633,"['Breakfast', 'Home Delivery', 'Catering Available', 'Serves Jain Food', 'Indoor Seating']",1,1,Mid Range,North Indian
